,index,Unnamed: 0,시군구,소재지,Latitude,Longitude,구분,geometry,facility_id,버스정류장,자전거정류장,주차장,지하철
103.0,120,281,김해시,경상남도 김해시 외동 1421 이진캐스빌 2차 아파트(상가) 104동 103호,35.2321589,128.8507287,유원시설업(기타),POINT (128.8507287 35.2321589),112,18.0,2.0,0.0,0.0
104.0,121,284,창원시,경상남도 창원시 성산구 중앙동 91 창원이마트,35.2266563,128.6802026,유원시설업(기타),POINT (128.6802026 35.2266563),113,1.0,0.0,0.0,0.0
105.0,122,289,김해시,경상남도 김해시 어방동 474-2,35.2436127,128.9041702,유원시설업(기타),POINT (128.9041702 35.2436127),114,39.0,9.0,1.0,2.0
106.0,123,295,창원시,"경상남도 창원시 마산합포구 진북면 금산리 437 (외 2번지, 283-1, 449-1) ",35.1545856,128.444001,유원시설업(기타),POINT (128.444001 35.1545856),115,11.0,0.0,0.0,0.0
107.0,124,305,창원시,경상남도 창원시 진해구 풍호동 805-5,35.1351588,128.7074075,유원시설업(기타),POINT (128.7074075 35.1351588),116,6.0,6.0,0.0,0.0
,125,306,김해시,경상남도 김해시 장유동 840-4,35.1709482,128.8233231,유원시설업(기타),POINT (128.8233231 35.1709482),117,0.0,0.0,0.0,0.0
108.0,126,310,김해시,경상남도 김해시 장유동 825-1,35.1724042,128.8233558,유원시설업(기타),POINT (128.8233558 35.1724042),118,21.0,14.0,5.0,0.0
109.0,127,311,김해시,경상남도 김해시 외동 1264 이마트 김해점 2층,35.2302741,128.8718129,유원시설업(기타),POINT (128.8718129 35.2302741),119,39.0,9.0,1.0,2.0
110.0,128,313,창원시,경상남도 창원시 의창구 용호동 73-61,35.2286734,128.6790208,시내순환관광업,POINT (128.6790208 35.2286734),120,22.0,2.0,0.0,0.0
111.0,129,314,김해시,경상남도 김해시 삼방동 산 123,35.2620849,128.9022688,종합유원시설업,POINT (128.9022688 35.2620849),121,18.0,13.0,5.0,0.0
112.0,130,321,김해시,경상남도 김해시 유하동 88번지,35.2201789,128.8199149,종합휴양업,POINT (128.8199149 35.2201789),122,13.0,3.0,0.0,0.0
113.0,131,322,김해시,경상남도 김해시 유하동 88,35.2201789,128.8199149,전문휴양업,POINT (128.8199149 35.2201789),123,5.0,0.0,0.0,0.0
114.0,133,330,김해시,경상남도 김해시 주촌면 선지리 479-1,35.2393125,128.8425419,유원시설업(기타),POINT (128.8425419 35.2393125),124,13.0,2.0,0.0,0.0
115.0,134,332,김해시,경상남도 김해시 생림면 나전리 30-6,35.2751259,128.8869678,유원시설업(기타),POINT (128.8869678 35.2751259),125,27.0,2.0,0.0,0.0
116.0,135,339,창원시,경상남도 창원시 마산합포구 구산면 반동리 산 105 중앙광장동,35.0770583,128.5877878,유원시설업(기타),POINT (128.5877878 35.0770583),126,24.0,2.0,0.0,0.0
117.0,136,344,김해시,경상남도 김해시 진영읍 진영리 275-25,35.3048078,128.7283931,유원시설업(기타),POINT (128.7283931 35.3048078),127,41.0,13.0,1.0,2.0
118.0,138,346,김해시,경상남도 김해시 외동 1264,35.229131,128.872148,유원시설업(기타),POINT (128.872148 35.229131),128,16.0,12.0,3.0,0.0
119.0,139,347,창원시,"경상남도 창원시 마산회원구 양덕동 151-1 삼성홈플러스, 5층 ",35.2226498,128.5857481,유원시설업(기타),POINT (128.5857481 35.2226498),129,3.0,0.0,0.0,0.0
120.0,140,1,김해시,김해시 한림면 김해대로 1029-20,35.2943733,128.7945742,박물관,POINT (128.7945742 35.2943733),130,9.0,0.0,0.0,0.0
121.0,141,5,김해시,김해시 가야의길 126 (대성동),35.2374065,128.8737462,박물관,POINT (128.8737462 35.2374065),131,9.0,0.0,0.0,0.0
,142,7,창원시,창원시 진해구 중원로 1,35.1440057,128.6582846,박물관,POINT (128.6582846 35.1440057),132,0.0,0.0,0.0,0.0
122.0,143,17,창원시,창원시 진해구 중원동로 52 (제황산동),35.1489111,128.6639905,박물관,POINT (128.6639905 35.1489111),133,8.0,0.0,0.0,0.0
123.0,144,20,김해시,김해시 인제로 197 (어방동),35.2503874,128.9011775,박물관,POINT (128.9011775 35.2503874),134,2.0,0.0,0.0,0.0
124.0,145,21,창원시,창원시 의창구 퇴촌로 92 (퇴촌동),35.250146,128.6961221,박물관,POINT (128.6961221 35.250146),135,2.0,0.0,0.0,0.0
