"연도","시도군","분기","주중/말","시간대","성별","인구수"
"2024","사천시","1분기","주말","오후","여","1609238"
"2024","사천시","2분기","평일","새벽","남","4378934"
"2024","사천시","2분기","평일","새벽","여","3653661"
"2024","사천시","2분기","평일","야간","남","4424157"
"2024","사천시","2분기","평일","야간","여","3684502"
"2024","사천시","2분기","평일","오전","남","4718288"
"2024","사천시","2분기","평일","오전","여","3723334"
"2024","사천시","2분기","평일","오후","남","4737591"
"2024","사천시","2분기","평일","오후","여","3760853"
"2024","사천시","2분기","주말","새벽","남","1734577"
"2024","사천시","2분기","주말","새벽","여","1518984"
"2024","사천시","2분기","주말","야간","여","1531074"
"2024","사천시","2분기","주말","야간","남","1748706"
"2024","사천시","2분기","주말","오전","남","1796227"
"2024","사천시","2분기","주말","오전","여","1566391"
"2024","사천시","2분기","주말","오후","남","1821612"
"2024","사천시","2분기","주말","오후","여","1609682"
"2024","사천시","3분기","평일","새벽","남","4435879"
"2024","사천시","3분기","평일","새벽","여","3739528"
"2024","사천시","3분기","평일","야간","남","4467773"
"2024","사천시","3분기","평일","야간","여","3764430"
"2024","사천시","3분기","평일","오전","여","3810899"
"2024","사천시","3분기","평일","오전","남","4782126"
"2024","사천시","3분기","평일","오후","남","4810795"
"2024","사천시","3분기","평일","오후","여","3853542"
"2024","사천시","3분기","주말","새벽","남","1753589"
"2024","사천시","3분기","주말","새벽","여","1535597"
"2024","사천시","3분기","주말","야간","여","1555138"
"2024","사천시","3분기","주말","야간","남","1767975"
"2024","사천시","3분기","주말","오전","여","1579086"
"2024","사천시","3분기","주말","오전","남","1821704"
"2024","사천시","3분기","주말","오후","남","1849808"
"2024","사천시","3분기","주말","오후","여","1624912"
"2024","사천시","4분기","평일","새벽","남","4390416"
"2024","사천시","4분기","평일","새벽","여","3636530"
"2024","사천시","4분기","평일","야간","남","4407830"
"2024","사천시","4분기","평일","야간","여","3663153"
"2024","사천시","4분기","평일","오전","남","4723944"
"2024","사천시","4분기","평일","오전","여","3700867"
"2024","사천시","4분기","평일","오후","남","4737042"
"2024","사천시","4분기","평일","오후","여","3733186"
"2024","사천시","4분기","주말","새벽","남","1737171"
"2024","사천시","4분기","주말","새벽","여","1514798"
"2024","사천시","4분기","주말","야간","여","1511386"
"2024","사천시","4분기","주말","야간","남","1734216"
"2024","사천시","4분기","주말","오전","남","1795665"
"2024","사천시","4분기","주말","오전","여","1554807"
"2024","사천시","4분기","주말","오후","남","1818684"
"2024","사천시","4분기","주말","오후","여","1587706"
"2024","산청군","1분기","평일","새벽","남","1263797"
"2024","산청군","1분기","평일","새벽","여","1246816"
"2024","산청군","1분기","평일","야간","남","1295229"
"2024","산청군","1분기","평일","야간","여","1268111"
"2024","산청군","1분기","평일","오전","남","1400374"
"2024","산청군","1분기","평일","오전","여","1330890"
"2024","산청군","1분기","평일","오후","남","1443521"
"2024","산청군","1분기","평일","오후","여","1367174"
"2024","산청군","1분기","주말","새벽","남","568994"
"2024","산청군","1분기","주말","새벽","여","566284"
"2024","산청군","1분기","주말","야간","여","556028"
"2024","산청군","1분기","주말","야간","남","557801"
"2024","산청군","1분기","주말","오전","남","626854"
"2024","산청군","1분기","주말","오전","여","613231"
"2024","산청군","1분기","주말","오후","남","644325"
"2024","산청군","1분기","주말","오후","여","637251"
"2024","산청군","2분기","평일","새벽","남","1314899"
"2024","산청군","2분기","평일","새벽","여","1272390"
"2024","산청군","2분기","평일","야간","남","1345319"
"2024","산청군","2분기","평일","야간","여","1293946"
"2024","산청군","2분기","평일","오전","남","1498426"
"2024","산청군","2분기","평일","오전","여","1398766"
"2024","산청군","2분기","평일","오후","남","1535323"
"2024","산청군","2분기","평일","오후","여","1441883"
"2024","산청군","2분기","주말","새벽","남","612333"
"2024","산청군","2분기","주말","새벽","여","599265"
"2024","산청군","2분기","주말","야간","여","598266"
"2024","산청군","2분기","주말","야간","남","608219"
"2024","산청군","2분기","주말","오전","남","700172"
"2024","산청군","2분기","주말","오전","여","684561"
"2024","산청군","2분기","주말","오후","남","723714"
"2024","산청군","2분기","주말","오후","여","721713"
"2024","산청군","3분기","평일","새벽","남","1405164"
"2024","산청군","3분기","평일","새벽","여","1347613"
"2024","산청군","3분기","평일","야간","남","1433385"
"2024","산청군","3분기","평일","야간","여","1368401"
"2024","산청군","3분기","평일","오전","남","1577273"
"2024","산청군","3분기","평일","오전","여","1457700"
"2024","산청군","3분기","평일","오후","남","1629853"
"2024","산청군","3분기","평일","오후","여","1516127"
"2024","산청군","3분기","주말","새벽","남","662272"
"2024","산청군","3분기","주말","새벽","여","629251"
"2024","산청군","3분기","주말","야간","남","657404"
